Country,WF,WTG,Generation,Type,Power,Component,Material Code,Material Description,'Consumption'[Date],Age (d),Sum of Q,Unit,Order,Order Exchange
United Kingdom,WFG-UN-03,90288,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2022-07-09 00:00:00,732,1,PCE,SYN-ORD-720964,SYN-EX-07
Turkey,WFG-TU-03,88102,DELTA,N131,3600,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-04-15 00:00:00,732,1,PCE,SYN-ORD-731217,SYN-EX-07
USA,WFG-US-03,86414,DELTA,N125,3000,Main Bearing,BRG-2208,Main bearing assembly,2021-12-27 00:00:00,732,1,PCE,SYN-ORD-843035,SYN-EX-08
Portugal,WFG-PO-03,88777,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2018-04-13 00:00:00,732,1,PCE,SYN-ORD-918239,SYN-EX-08
Poland,WFG-PO-03,89272,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-05-11 00:00:00,732,2,PCE,SYN-ORD-947189,SYN-EX-02
USA,WFG-US-03,86343,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2018-12-31 00:00:00,733,2,PCE,SYN-ORD-887930,SYN-EX-01
United Kingdom,WFG-UN-03,88487,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2019-09-17 00:00:00,735,1,PCE,SYN-ORD-951679,SYN-EX-08
South Africa,WFG-SO-03,88640,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-11-18 00:00:00,735,1,PCE,SYN-ORD-955357,SYN-EX-07
Germany,WFG-GE-03,88068,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-09-14 00:00:00,736,1,PCE,SYN-ORD-930758,SYN-EX-02
Germany,WFG-GE-03,88700,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-01-09 00:00:00,736,2,PCE,SYN-ORD-943819,SYN-EX-08
Germany,WFG-GE-03,90549,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-03-13 00:00:00,736,1,PCE,SYN-ORD-786653,SYN-EX-07
Ireland,WFG-IR-02,87013,DELTA,N125,3000,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-05-15 00:00:00,736,1,PCE,SYN-ORD-746205,SYN-EX-02
Turkey,WFG-TU-03,88209,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-09-23 00:00:00,736,1,PCE,SYN-ORD-721325,SYN-EX-05
Poland,WFG-PO-03,89333,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-04-15 00:00:00,736,1,PCE,SYN-ORD-717430,SYN-EX-08
Ireland,WFG-IR-02,90137,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-11-03 00:00:00,736,1,PCE,SYN-ORD-700359,SYN-EX-01
France,WFG-FR-02,86335,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2023-05-06 00:00:00,736,2,PCE,SYN-ORD-808378,SYN-EX-06
Greece,WFG-GR-03,89338,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2021-12-29 00:00:00,737,2,PCE,SYN-ORD-927907,SYN-EX-02
Portugal,WFG-PO-03,86989,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-03-06 00:00:00,737,1,PCE,SYN-ORD-806456,SYN-EX-08
France,WFG-FR-02,88860,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-03-30 00:00:00,738,2,PCE,SYN-ORD-997268,SYN-EX-02
Turkey,WFG-TU-03,89110,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-03-02 00:00:00,740,1,PCE,SYN-ORD-719532,SYN-EX-02
France,WFG-FR-02,87864,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2019-10-22 00:00:00,740,1,PCE,SYN-ORD-708539,SYN-EX-09
Germany,WFG-GE-03,88563,DELTA,N80,1300,Main Bearing,BRG-1102,Main bearing assembly,2025-02-10 00:00:00,741,2,PCE,SYN-ORD-705591,SYN-EX-04
Germany,WFG-GE-03,86274,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-01-21 00:00:00,741,1,PCE,SYN-ORD-867063,SYN-EX-01
Norway,WFG-NO-03,86200,DELTA,N131,3600,Generator,GEN-5210,Generator control module,2024-02-11 00:00:00,742,2,PCE,SYN-ORD-748697,SYN-EX-07
Turkey,WFG-TU-03,89169,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-04-21 00:00:00,742,1,PCE,SYN-ORD-753286,SYN-EX-05
Turkey,WFG-TU-03,88278,DELTA,N125,3000,Yaw System,YAW-4402,Yaw drive frequency converter,2017-06-18 00:00:00,743,1,PCE,SYN-ORD-819023,SYN-EX-08
Italy,WFG-IT-03,88420,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-06-17 00:00:00,743,1,PCE,SYN-ORD-947118,SYN-EX-09
USA,WFG-US-03,88492,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-02-18 00:00:00,744,1,PCE,SYN-ORD-759748,SYN-EX-07
Norway,WFG-NO-03,88112,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-09-17 00:00:00,744,1,PCE,SYN-ORD-714568,SYN-EX-05
Poland,WFG-PO-03,87110,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2022-06-24 00:00:00,746,1,PCE,SYN-ORD-718851,SYN-EX-08
USA,WFG-US-03,90272,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2019-11-26 00:00:00,746,1,PCE,SYN-ORD-747524,SYN-EX-03
Turkey,WFG-TU-03,89902,SIGMA,N100,2500,Main Bearing,BRG-1102,Main bearing assembly,2025-04-29 00:00:00,747,1,PCE,SYN-ORD-974149,SYN-EX-06
Brazil,WFG-BR-02,87005,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-01-17 00:00:00,748,1,PCE,SYN-ORD-854542,SYN-EX-04
Italy,WFG-IT-03,88723,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-03-31 00:00:00,748,2,PCE,SYN-ORD-818816,SYN-EX-09
Spain,WFG-SP-02,89533,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-05-13 00:00:00,749,1,PCE,SYN-ORD-956082,SYN-EX-06
Germany,WFG-GE-03,86304,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-05-17 00:00:00,750,1,PCE,SYN-ORD-784073,SYN-EX-05
Finland,WFG-FI-01,86415,DELTA,N80,1300,Gearbox,GBX-2044,Gearbox service component,2023-10-03 00:00:00,750,1,PCE,SYN-ORD-916383,SYN-EX-05
United Kingdom,WFG-UN-03,88170,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-04-02 00:00:00,751,1,PCE,SYN-ORD-702897,SYN-EX-08
Germany,WFG-GE-03,86759,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-10-11 00:00:00,752,2,PCE,SYN-ORD-884452,SYN-EX-09
United Kingdom,WFG-UN-03,88572,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2022-02-10 00:00:00,752,1,PCE,SYN-ORD-911929,SYN-EX-02
Ireland,WFG-IR-02,89755,DELTA,N100,1800,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-09-08 00:00:00,753,1,PCE,SYN-ORD-974997,SYN-EX-04
Germany,WFG-GE-03,88043,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-07-13 00:00:00,754,1,PCE,SYN-ORD-741393,SYN-EX-02
Turkey,WFG-TU-03,89376,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2022-10-01 00:00:00,754,1,PCE,SYN-ORD-851657,SYN-EX-03
Netherlands,WFG-NE-03,89570,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-07-25 00:00:00,754,1,PCE,SYN-ORD-711790,SYN-EX-03
France,WFG-FR-02,89617,DELTA,N131,3600,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-01-26 00:00:00,754,1,PCE,SYN-ORD-883049,SYN-EX-04
Turkey,WFG-TU-03,87315,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-06-04 00:00:00,755,1,PCE,SYN-ORD-703007,SYN-EX-03
Turkey,WFG-TU-03,87210,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2020-05-27 00:00:00,755,1,PCE,SYN-ORD-905300,SYN-EX-07
France,WFG-FR-02,90305,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2025-07-04 00:00:00,755,1,PCE,SYN-ORD-962454,SYN-EX-02
Belgium,WFG-BE-01,87849,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-09-17 00:00:00,755,1,PCE,SYN-ORD-763773,SYN-EX-04
Poland,WFG-PO-03,89780,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-10-23 00:00:00,756,1,PCE,SYN-ORD-919010,SYN-EX-02
Germany,WFG-GE-03,88914,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-10-21 00:00:00,757,1,PCE,SYN-ORD-773691,SYN-EX-02
Luxembourg,WFG-LU-02,86461,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-10-05 00:00:00,757,1,PCE,SYN-ORD-830472,SYN-EX-02
Uruguay,WFG-UR-01,90411,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2018-10-21 00:00:00,757,1,PCE,SYN-ORD-991551,SYN-EX-01
France,WFG-FR-02,86944,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-04-03 00:00:00,758,1,PCE,SYN-ORD-925257,SYN-EX-02
Finland,WFG-FI-01,87434,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2017-02-06 00:00:00,759,2,PCE,SYN-ORD-903460,SYN-EX-08
Germany,WFG-GE-03,86587,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2016-04-16 00:00:00,759,2,PCE,SYN-ORD-823462,SYN-EX-09
Czechia,WFG-CZ-02,87098,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-09-16 00:00:00,760,1,PCE,SYN-ORD-707987,SYN-EX-07
Ireland,WFG-IR-02,86200,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2019-12-10 00:00:00,760,1,PCE,SYN-ORD-789472,SYN-EX-02
United Kingdom,WFG-UN-03,89679,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-10-11 00:00:00,760,1,PCE,SYN-ORD-719956,SYN-EX-05
Germany,WFG-GE-03,86203,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-12-10 00:00:00,761,1,PCE,SYN-ORD-809875,SYN-EX-01
Greece,WFG-GR-03,87825,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2020-09-17 00:00:00,761,2,PCE,SYN-ORD-933205,SYN-EX-04
Germany,WFG-GE-03,89891,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-10-01 00:00:00,762,1,PCE,SYN-ORD-823772,SYN-EX-09
France,WFG-FR-02,86438,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-01-20 00:00:00,762,1,PCE,SYN-ORD-812123,SYN-EX-01
Germany,WFG-GE-03,87802,GAMMA,N149,4500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-03-21 00:00:00,763,1,PCE,SYN-ORD-840471,SYN-EX-07
Poland,WFG-PO-03,87079,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-10-26 00:00:00,764,1,PCE,SYN-ORD-798862,SYN-EX-05
France,WFG-FR-02,88649,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2023-12-14 00:00:00,764,1,PCE,SYN-ORD-807896,SYN-EX-02
Belgium,WFG-BE-01,88894,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2023-01-27 00:00:00,765,1,PCE,SYN-ORD-785724,SYN-EX-04
Ireland,WFG-IR-02,88884,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-08-18 00:00:00,765,1,PCE,SYN-ORD-756544,SYN-EX-08
Germany,WFG-GE-03,86347,DELTA,N131,3600,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-04-05 00:00:00,765,1,PCE,SYN-ORD-743929,SYN-EX-02
Germany,WFG-GE-03,86813,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-03-10 00:00:00,765,1,PCE,SYN-ORD-742755,SYN-EX-05
Germany,WFG-GE-03,88188,DELTA,N125,3000,Generator,GEN-4201,Generator control module,2020-10-27 00:00:00,765,2,PCE,SYN-ORD-985513,SYN-EX-02
United Kingdom,WFG-UN-03,86582,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-04-27 00:00:00,766,1,PCE,SYN-ORD-708721,SYN-EX-01
Netherlands,WFG-NE-03,89313,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2022-01-28 00:00:00,766,1,PCE,SYN-ORD-828822,SYN-EX-08
France,WFG-FR-02,89959,DELTA,N125,3000,Gearbox,GBX-2044,Gearbox service component,2020-09-10 00:00:00,767,1,PCE,SYN-ORD-984236,SYN-EX-07
Finland,WFG-FI-01,88129,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-08-19 00:00:00,768,1,PCE,SYN-ORD-712805,SYN-EX-02
Germany,WFG-GE-03,87561,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2025-03-23 00:00:00,768,1,PCE,SYN-ORD-989044,SYN-EX-07
Netherlands,WFG-NE-03,90036,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2022-08-26 00:00:00,768,1,PCE,SYN-ORD-916617,SYN-EX-08
South Africa,WFG-SO-03,89117,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2021-05-08 00:00:00,768,1,PCE,SYN-ORD-880253,SYN-EX-04
Portugal,WFG-PO-03,88332,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2025-03-06 00:00:00,769,1,PCE,SYN-ORD-859181,SYN-EX-08
Ireland,WFG-IR-02,87461,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2019-06-02 00:00:00,770,1,PCE,SYN-ORD-845625,SYN-EX-01
Finland,WFG-FI-01,88570,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2017-04-12 00:00:00,770,1,PCE,SYN-ORD-862556,SYN-EX-06
Germany,WFG-GE-03,88620,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-07-06 00:00:00,771,2,PCE,SYN-ORD-745264,SYN-EX-06
France,WFG-FR-02,86391,SIGMA,N170,6800,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-07-23 00:00:00,772,1,PCE,SYN-ORD-882161,SYN-EX-03
Germany,WFG-GE-03,89583,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-01-30 00:00:00,773,1,PCE,SYN-ORD-845373,SYN-EX-06
USA,WFG-US-03,89413,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-01-30 00:00:00,773,1,PCE,SYN-ORD-744817,SYN-EX-06
Portugal,WFG-PO-03,86837,DELTA,N125,3000,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-03-29 00:00:00,773,1,PCE,SYN-ORD-759678,SYN-EX-04
United Kingdom,WFG-UN-03,88752,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2022-02-01 00:00:00,774,1,PCE,SYN-ORD-774208,SYN-EX-08
Finland,WFG-FI-01,88685,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-09-14 00:00:00,774,1,PCE,SYN-ORD-873555,SYN-EX-09
Germany,WFG-GE-03,86325,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-02-05 00:00:00,774,1,PCE,SYN-ORD-721012,SYN-EX-03
Italy,WFG-IT-03,88055,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-10-26 00:00:00,774,1,PCE,SYN-ORD-779955,SYN-EX-05
France,WFG-FR-02,89159,GAMMA,N149,4500,Yaw System,YAW-4402,Yaw drive frequency converter,2020-05-08 00:00:00,774,1,PCE,SYN-ORD-759034,SYN-EX-04
France,WFG-FR-02,89500,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-07-07 00:00:00,774,1,PCE,SYN-ORD-886710,SYN-EX-07
Italy,WFG-IT-03,87954,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-09-27 00:00:00,776,1,PCE,SYN-ORD-907878,SYN-EX-08
Argentina,WFG-AR-03,88918,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2021-11-14 00:00:00,776,1,PCE,SYN-ORD-836971,SYN-EX-08
United Kingdom,WFG-UN-03,88224,DELTA,N80,1300,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-08-26 00:00:00,776,1,PCE,SYN-ORD-911566,SYN-EX-03
Germany,WFG-GE-03,89524,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2025-01-12 00:00:00,777,2,PCE,SYN-ORD-887085,SYN-EX-06
United Kingdom,WFG-UN-03,87735,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-07-14 00:00:00,777,1,PCE,SYN-ORD-722751,SYN-EX-03
Germany,WFG-GE-03,88150,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-06-12 00:00:00,777,2,PCE,SYN-ORD-985423,SYN-EX-03
Uruguay,WFG-UR-01,90218,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2017-02-23 00:00:00,778,1,PCE,SYN-ORD-925959,SYN-EX-04
Italy,WFG-IT-03,86659,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2018-09-26 00:00:00,778,1,PCE,SYN-ORD-897303,SYN-EX-07
Germany,WFG-GE-03,88510,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2022-01-05 00:00:00,778,1,PCE,SYN-ORD-884818,SYN-EX-07
Germany,WFG-GE-03,87901,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-05-24 00:00:00,779,1,PCE,SYN-ORD-776273,SYN-EX-08
Germany,WFG-GE-03,87399,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2022-09-15 00:00:00,779,1,PCE,SYN-ORD-983981,SYN-EX-08
Argentina,WFG-AR-03,86339,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2021-08-23 00:00:00,779,1,PCE,SYN-ORD-984075,SYN-EX-03
Turkey,WFG-TU-03,88690,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-08-05 00:00:00,779,1,PCE,SYN-ORD-891313,SYN-EX-07
Poland,WFG-PO-03,87419,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-07-06 00:00:00,780,1,PCE,SYN-ORD-734695,SYN-EX-09
United Kingdom,WFG-UN-03,87622,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-05-22 00:00:00,780,2,PCE,SYN-ORD-996377,SYN-EX-07
United Kingdom,WFG-UN-03,86868,SIGMA,N100,2500,Main Bearing,BRG-2208,Main bearing assembly,2021-03-29 00:00:00,781,2,PCE,SYN-ORD-913252,SYN-EX-05
Germany,WFG-GE-03,89894,DELTA,N125,3000,Gearbox,GBX-2044,Gearbox service component,2021-12-29 00:00:00,783,1,PCE,SYN-ORD-720421,SYN-EX-03
Spain,WFG-SP-02,89574,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-09-24 00:00:00,783,2,PCE,SYN-ORD-889124,SYN-EX-04
France,WFG-FR-02,86329,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2024-08-06 00:00:00,784,1,PCE,SYN-ORD-994916,SYN-EX-06
United Kingdom,WFG-UN-03,88376,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2022-08-29 00:00:00,784,1,PCE,SYN-ORD-793261,SYN-EX-01
Ireland,WFG-IR-02,86329,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-06-17 00:00:00,784,1,PCE,SYN-ORD-824847,SYN-EX-09
United Kingdom,WFG-UN-03,86275,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-07-08 00:00:00,784,1,PCE,SYN-ORD-849229,SYN-EX-09
Norway,WFG-NO-03,88886,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-02-24 00:00:00,785,1,PCE,SYN-ORD-840005,SYN-EX-05
Germany,WFG-GE-03,88286,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2021-07-13 00:00:00,785,1,PCE,SYN-ORD-992953,SYN-EX-02
USA,WFG-US-03,86953,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-09-25 00:00:00,785,1,PCE,SYN-ORD-729977,SYN-EX-07
Turkey,WFG-TU-03,86615,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-08-25 00:00:00,785,1,PCE,SYN-ORD-975147,SYN-EX-05
Turkey,WFG-TU-03,88235,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-04-07 00:00:00,786,1,PCE,SYN-ORD-913790,SYN-EX-09
Germany,WFG-GE-03,87842,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-08-27 00:00:00,787,2,PCE,SYN-ORD-942494,SYN-EX-08
Germany,WFG-GE-03,90451,SIGMA,N100,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2022-11-05 00:00:00,788,1,PCE,SYN-ORD-981543,SYN-EX-09
France,WFG-FR-02,87748,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-05-26 00:00:00,789,1,PCE,SYN-ORD-883787,SYN-EX-02
France,WFG-FR-02,87479,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2020-12-12 00:00:00,789,1,PCE,SYN-ORD-840310,SYN-EX-01
Turkey,WFG-TU-03,90121,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-10-18 00:00:00,789,1,PCE,SYN-ORD-890375,SYN-EX-05
United Kingdom,WFG-UN-03,89007,DELTA,N125,3000,Yaw System,YAW-4402,Yaw drive frequency converter,2023-11-22 00:00:00,790,1,PCE,SYN-ORD-957293,SYN-EX-01
United Kingdom,WFG-UN-03,87922,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-07-04 00:00:00,790,1,PCE,SYN-ORD-977084,SYN-EX-06
Turkey,WFG-TU-03,86476,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-06-10 00:00:00,790,1,PCE,SYN-ORD-991921,SYN-EX-09
Turkey,WFG-TU-03,90140,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2020-04-19 00:00:00,791,2,PCE,SYN-ORD-720857,SYN-EX-02
France,WFG-FR-02,88731,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-10-18 00:00:00,792,1,PCE,SYN-ORD-900350,SYN-EX-03
United Kingdom,WFG-UN-03,87310,SIGMA,N100,2500,Main Bearing,BRG-1102,Main bearing assembly,2023-03-09 00:00:00,792,2,PCE,SYN-ORD-759458,SYN-EX-08
France,WFG-FR-02,89779,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2021-03-22 00:00:00,793,1,PCE,SYN-ORD-935301,SYN-EX-02
Germany,WFG-GE-03,89821,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-08-06 00:00:00,793,1,PCE,SYN-ORD-778868,SYN-EX-07
Turkey,WFG-TU-03,87512,SIGMA,N100,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2023-05-27 00:00:00,793,1,PCE,SYN-ORD-970172,SYN-EX-02
Turkey,WFG-TU-03,90072,SIGMA,N90,2500,Main Bearing,BRG-1102,Main bearing assembly,2023-11-04 00:00:00,794,1,PCE,SYN-ORD-891547,SYN-EX-01
France,WFG-FR-02,87200,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-08-08 00:00:00,794,2,PCE,SYN-ORD-885527,SYN-EX-03
United Kingdom,WFG-UN-03,90756,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2021-06-30 00:00:00,795,1,PCE,SYN-ORD-961154,SYN-EX-06
USA,WFG-US-03,87764,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-06-30 00:00:00,795,1,PCE,SYN-ORD-913298,SYN-EX-09
Ireland,WFG-IR-02,88385,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-02-16 00:00:00,796,1,PCE,SYN-ORD-743643,SYN-EX-02
United Kingdom,WFG-UN-03,87656,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2016-10-24 00:00:00,796,1,PCE,SYN-ORD-987085,SYN-EX-01
United Kingdom,WFG-UN-03,89579,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-07-19 00:00:00,796,1,PCE,SYN-ORD-911336,SYN-EX-04
France,WFG-FR-02,86446,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-04-16 00:00:00,797,1,PCE,SYN-ORD-888031,SYN-EX-05
Poland,WFG-PO-03,88269,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-09-22 00:00:00,797,1,PCE,SYN-ORD-971195,SYN-EX-01
USA,WFG-US-03,88430,DELTA,N80,1300,Main Bearing,BRG-2208,Main bearing assembly,2020-03-05 00:00:00,797,2,PCE,SYN-ORD-874792,SYN-EX-04
Turkey,WFG-TU-03,89952,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2020-12-10 00:00:00,797,1,PCE,SYN-ORD-744413,SYN-EX-02
